date,price
2026-08-28,0.687
2026-08-21,0.728
2026-08-14,0.679
2026-08-07,0.655
2026-07-31,0.671
2026-07-24,0.722
2026-07-17,0.736
2026-07-10,0.693
2026-07-03,0.691
2026-06-26,0.699
2026-06-19,0.719
2026-06-12,0.779
2026-06-05,0.836
2026-05-29,0.798
2026-05-22,0.829
2026-05-15,0.843
2026-05-08,0.832
2026-05-01,0.839
2026-04-24,0.793
2026-04-17,0.761
2026-04-10,0.71
2026-04-03,0.762
2026-03-27,0.724
2026-03-20,0.724
2026-03-13,0.729
2026-03-06,0.702
2026-02-27,0.614
2026-02-20,0.605
2026-02-13,0.609
2026-02-06,0.626
2026-01-30,0.652
2026-01-23,0.645
2026-01-16,0.596
2026-01-09,0.598
2026-01-02,0.613
2025-12-26,0.624
2025-12-19,0.621
2025-12-12,0.669
2025-12-05,0.679
2025-11-28,0.595
2025-11-21,0.605
2025-11-14,0.607
2025-11-07,0.608
2025-10-31,0.654
2025-10-24,0.622
2025-10-17,0.611
2025-10-10,0.646
2025-10-03,0.677
2025-09-26,0.699
2025-09-19,0.69
2025-09-12,0.682
2025-09-05,0.682
2025-08-29,0.676
2025-08-22,0.667
2025-08-15,0.664
2025-08-08,0.667
2025-08-01,0.718
2025-07-25,0.691
2025-07-18,0.703
2025-07-11,0.731
2025-07-04,0.713
2025-06-27,0.741
2025-06-20,0.806
2025-06-13,0.772
2025-06-06,0.724
2025-05-30,0.742
2025-05-23,0.765
2025-05-16,0.781
2025-05-09,0.704
2025-05-02,0.856
2025-04-25,0.874
2025-04-18,0.835
2025-04-11,0.748
2025-04-04,0.88
2025-03-28,0.905
2025-03-21,0.864
2025-03-14,0.845
2025-03-07,0.862
2025-02-28,0.943
2025-02-21,0.902
2025-02-14,0.929
2025-02-07,0.922
2025-01-31,0.895
2025-01-24,0.915
2025-01-17,0.948
2025-01-10,0.868
2025-01-03,0.826
2024-12-27,0.766
2024-12-20,0.762
2024-12-13,0.768
2024-12-06,0.783
2024-11-29,0.825
2024-11-22,0.805
2024-11-15,0.792
2024-11-08,0.809
2024-11-01,0.745
2024-10-25,0.762
2024-10-18,0.754
2024-10-11,0.814
2024-10-04,0.77
2024-09-27,0.628
2024-09-20,0.661
2024-09-13,0.635
2024-09-06,0.702
2024-08-30,0.762
2024-08-23,0.761
2024-08-16,0.759
2024-08-09,0.745
2024-08-02,0.756
2024-07-26,0.777
2024-07-19,0.784
2024-07-12,0.819
2024-07-05,0.844
2024-06-28,0.808
2024-06-21,0.788
2024-06-14,0.768
2024-06-07,0.689
2024-05-31,0.72
2024-05-24,0.707
2024-05-17,0.681
2024-05-10,0.683
2024-05-03,0.727
2024-04-26,0.771
2024-04-19,0.785
2024-04-12,0.826
2024-04-05,0.834
2024-03-29,0.826
2024-03-22,0.815
2024-03-15,0.764
2024-03-08,0.803
2024-03-01,0.857
2024-02-23,0.885
2024-02-16,0.937
2024-02-09,0.922
2024-02-02,0.917
2024-01-26,0.882
2024-01-19,0.888
2024-01-12,0.759
2024-01-05,0.695
2023-12-29,0.689
2023-12-22,0.678
2023-12-15,0.669
2023-12-08,0.705
2023-12-01,0.664
2023-11-24,0.645
2023-11-17,0.629
2023-11-10,0.629
2023-11-03,0.653
2023-10-27,0.654
2023-10-20,0.659
2023-10-13,0.691
2023-10-06,0.703
2023-09-29,0.69
2023-09-22,0.724
2023-09-15,0.769
2023-09-08,0.741
2023-09-01,0.69
2023-08-25,0.653
2023-08-18,0.629
2023-08-11,0.719
2023-08-04,0.723
2023-07-28,0.685
2023-07-21,0.64
2023-07-14,0.614
2023-07-07,0.542
2023-06-30,0.549
2023-06-23,0.573
2023-06-16,0.557
2023-06-09,0.603
2023-06-02,0.613
2023-05-26,0.632
2023-05-19,0.635
2023-05-12,0.684
2023-05-05,0.731
2023-04-28,0.775
2023-04-21,0.81
2023-04-14,0.831
2023-04-07,0.831
2023-03-31,0.782
2023-03-24,0.734
2023-03-17,0.736
2023-03-10,0.862
2023-03-03,0.877
2023-02-24,0.812
2023-02-17,0.826
2023-02-10,0.838
2023-02-03,0.853
2023-01-27,0.916
2023-01-20,0.886
2023-01-13,0.79
2023-01-06,0.743
2022-12-30,0.704
2022-12-23,0.679
2022-12-16,0.697
2022-12-09,0.677
2022-12-02,0.759
2022-11-25,0.826
2022-11-18,0.866
2022-11-11,0.878
2022-11-04,0.874
2022-10-28,0.86
2022-10-21,0.827
2022-10-14,0.849
2022-10-07,0.897
2022-09-30,0.867
2022-09-23,0.967
2022-09-16,1.046
2022-09-09,1.059
2022-09-02,1.093
2022-08-26,1.115
2022-08-19,1.078
2022-08-12,1.075
2022-08-05,1.098
2022-07-29,1.138
2022-07-22,1.111
2022-07-15,1.138
2022-07-08,1.172
2022-07-01,1.221
2022-06-24,1.202
2022-06-17,1.199
2022-06-10,1.241
2022-06-03,1.237
2022-05-27,1.198
2022-05-20,1.217
2022-05-13,1.216
2022-05-06,1.261
2022-04-29,1.282
2022-04-22,1.309
2022-04-15,1.306
2022-04-08,1.302
2022-04-01,1.404
2022-03-25,1.443
2022-03-18,1.296
2022-03-11,1.615
2022-03-04,1.452
2022-02-25,1.302
2022-02-18,1.278
2022-02-11,1.234
2022-02-04,1.305
2022-01-28,1.207
2022-01-21,1.178
2022-01-14,1.134
2022-01-07,1.125
2021-12-31,1.101
2021-12-24,1.01
2021-12-17,1.033
2021-12-10,1.028
2021-12-03,1.02
2021-11-26,1.117
2021-11-19,1.164
2021-11-12,1.365
2021-11-05,1.381
2021-10-29,1.377
2021-10-22,1.487
2021-10-15,1.457
2021-10-08,1.487
2021-10-01,1.433
2021-09-24,1.332
2021-09-17,1.291
2021-09-10,1.189
2021-09-03,1.168
2021-08-27,1.116
2021-08-20,1.123
2021-08-13,1.116
2021-08-06,1.094
2021-07-30,1.097
2021-07-23,1.065
2021-07-16,1.097
2021-07-09,1.091
2021-07-02,1.068
2021-06-25,1.011
2021-06-18,0.954
2021-06-11,0.934
2021-06-04,0.906
2021-05-28,0.859
2021-05-21,0.8
2021-05-14,0.799
2021-05-07,0.804
2021-04-30,0.834
2021-04-23,0.754
2021-04-16,0.788
2021-04-09,0.897
2021-04-02,0.894
2021-03-26,0.894
2021-03-19,0.909
2021-03-12,0.937
2021-03-05,0.969
2021-02-26,0.957
2021-02-19,0.953
2021-02-12,0.871
2021-02-05,0.846
2021-01-29,0.892
2021-01-22,0.863
2021-01-15,0.894
2021-01-08,0.804
2021-01-01,0.737
2020-12-25,0.699
2020-12-18,0.631
2020-12-11,0.588
2020-12-04,0.58
2020-11-27,0.535
2020-11-20,0.527
2020-11-13,0.553
2020-11-06,0.557
2020-10-30,0.534
2020-10-23,0.535
2020-10-16,0.531
2020-10-09,0.519
2020-10-02,0.5
2020-09-25,0.499
2020-09-18,0.503
2020-09-11,0.46
2020-09-04,0.506
2020-08-28,0.511
2020-08-21,0.507
2020-08-14,0.503
2020-08-07,0.503
2020-07-31,0.495
2020-07-24,0.512
2020-07-17,0.483
2020-07-10,0.487
2020-07-03,0.459
2020-06-26,0.497
2020-06-19,0.505
2020-06-12,0.496
2020-06-05,0.501
2020-05-29,0.458
2020-05-22,0.462
2020-05-15,0.403
2020-05-08,0.369
2020-05-01,0.333
2020-04-24,0.346
2020-04-17,0.355
2020-04-10,0.298
2020-04-03,0.273
2020-03-27,0.229
2020-03-20,0.252
2020-03-13,0.304
2020-03-06,0.391
2020-02-28,0.399
2020-02-21,0.429
2020-02-14,0.385
2020-02-07,0.38
2020-01-31,0.402
2020-01-24,0.409
2020-01-17,0.437
2020-01-10,0.462
2020-01-03,0.433
2019-12-27,0.463
2019-12-20,0.507
2019-12-13,0.516
2019-12-06,0.528
2019-11-29,0.549
2019-11-22,0.542
2019-11-15,0.53
2019-11-08,0.514
2019-11-01,0.493
2019-10-25,0.465
2019-10-18,0.464
2019-10-11,0.477
2019-10-04,0.437
2019-09-27,0.46
2019-09-20,0.468
2019-09-13,0.436
2019-09-06,0.426
2019-08-30,0.423
2019-08-23,0.385
2019-08-16,0.385
2019-08-09,0.411
2019-08-02,0.463
2019-07-26,0.495
2019-07-19,0.504
2019-07-12,0.485
2019-07-05,0.473
2019-06-28,0.48
2019-06-21,0.44
2019-06-14,0.424
2019-06-07,0.453
2019-05-31,0.534
2019-05-24,0.552
2019-05-17,0.61
2019-05-10,0.598
2019-05-03,0.615
2019-04-26,0.656
2019-04-19,0.629
2019-04-12,0.661
2019-04-05,0.627
2019-03-29,0.638
2019-03-22,0.663
2019-03-15,0.691
2019-03-08,0.687
2019-03-01,0.686
2019-02-22,0.7
2019-02-15,0.647
2019-02-08,0.653
2019-02-01,0.677
2019-01-25,0.68
2019-01-18,0.681
2019-01-11,0.654
2019-01-04,0.635
2018-12-28,0.643
2018-12-21,0.649
2018-12-14,0.695
2018-12-07,0.729
2018-11-30,0.704
2018-11-23,0.739
2018-11-16,0.73
2018-11-09,0.777
2018-11-02,0.842
2018-10-26,0.86
2018-10-19,0.97
2018-10-12,1.002
2018-10-05,1.063
2018-09-28,1.062
2018-09-21,1.054
2018-09-14,1.063
2018-09-07,1.051
2018-08-31,1.027
2018-08-24,0.979
2018-08-17,0.943
2018-08-10,0.966
2018-08-03,0.951
2018-07-27,0.961
2018-07-20,0.887
2018-07-13,0.944
2018-07-06,0.952
2018-06-29,0.896
2018-06-22,0.852
2018-06-15,0.88
2018-06-08,0.884
2018-06-01,0.929
2018-05-25,0.94
2018-05-18,0.944
2018-05-11,0.874
2018-05-04,0.906
2018-04-27,0.881
2018-04-20,0.826
2018-04-13,0.795
2018-04-06,0.755
2018-03-30,0.81
2018-03-23,0.808
2018-03-16,0.796
2018-03-09,0.751
2018-03-02,0.818
2018-02-23,0.836
2018-02-16,0.841
2018-02-09,0.776
2018-02-02,0.85
2018-01-26,0.842
2018-01-19,0.925
2018-01-12,0.92
2018-01-05,0.963
2017-12-29,0.979
2017-12-22,0.948
2017-12-15,0.92
2017-12-08,0.977
2017-12-01,0.996
2017-11-24,1.0
2017-11-17,0.988
2017-11-10,0.956
2017-11-03,0.965
2017-10-27,0.949
2017-10-20,0.914
2017-10-13,0.952
2017-10-06,0.905
2017-09-29,0.952
2017-09-22,0.905
2017-09-15,0.867
2017-09-08,0.825
2017-09-01,0.792
2017-08-25,0.764
2017-08-18,0.752
2017-08-11,0.751
2017-08-04,0.738
2017-07-28,0.701
2017-07-21,0.658
2017-07-14,0.609
2017-07-07,0.603
2017-06-30,0.583
2017-06-23,0.574
2017-06-16,0.598
2017-06-09,0.596
2017-06-02,0.636
2017-05-26,0.662
2017-05-19,0.652
2017-05-12,0.632
2017-05-05,0.607
2017-04-28,0.63
2017-04-21,0.664
2017-04-14,0.68
2017-04-07,0.629
2017-03-31,0.591
2017-03-24,0.59
2017-03-17,0.637
2017-03-10,0.646
2017-03-03,0.625
2017-02-24,0.686
2017-02-17,0.779
2017-02-10,0.804
2017-02-03,0.875
2017-01-27,0.796
2017-01-20,0.74
2017-01-13,0.718
2017-01-06,0.703
2016-12-30,0.682
2016-12-23,0.64
2016-12-16,0.624
2016-12-09,0.619
2016-12-02,0.571
2016-11-25,0.542
2016-11-18,0.519
2016-11-11,0.53
2016-11-04,0.559
2016-10-28,0.582
2016-10-21,0.571
2016-10-14,0.582
2016-10-07,0.561
2016-09-30,0.528
2016-09-23,0.516
2016-09-16,0.486
