date,price
2026-08-28,84.62
2026-08-21,87.35
2026-08-14,84.05
2026-08-07,78.94
2026-07-31,84.51
2026-07-24,88.58
2026-07-17,80.77
2026-07-10,72.26
2026-07-03,70.48
2026-06-26,73.59
2026-06-19,81.36
2026-06-12,92.16
2026-06-05,96.87
2026-05-29,93.45
2026-05-22,105.32
2026-05-15,105.1
2026-05-08,102.28
2026-05-01,105.57
2026-04-24,95.43
2026-04-17,93.84
2026-04-10,104.54
2026-04-03,105.67
2026-03-27,94.29
2026-03-20,96.07
2026-03-13,91.85
2026-03-06,78.37
2026-02-27,65.87
2026-02-20,65.3
2026-02-13,63.93
2026-02-06,63.09
2026-01-30,62.9
2026-01-23,60.16
2026-01-16,60.12
2026-01-09,57.56
2026-01-02,57.54
2025-12-26,58.01
2025-12-19,56.3
2025-12-12,58.3
2025-12-05,59.48
2025-11-28,58.69
2025-11-21,60.27
2025-11-14,60.16
2025-11-07,60.87
2025-10-31,61.49
2025-10-24,60.2
2025-10-17,58.8
2025-10-10,62.1
2025-10-03,62.59
2025-09-26,64.83
2025-09-19,63.98
2025-09-12,63.06
2025-09-05,64.09
2025-08-29,64.52
2025-08-22,64.14
2025-08-15,64.34
2025-08-08,65.75
2025-08-01,69.58
2025-07-25,67.11
2025-07-18,68.07
2025-07-11,69.15
2025-07-04,67.43
2025-06-27,66.78
2025-06-20,74.94
2025-06-13,68.63
2025-06-06,64.06
2025-05-30,61.82
2025-05-23,63.26
2025-05-16,63.94
2025-05-09,60.39
2025-05-02,60.99
2025-04-25,63.62
2025-04-18,62.92
2025-04-11,61.24
2025-04-04,69.09
2025-03-28,69.81
2025-03-21,67.96
2025-03-14,66.95
2025-03-07,67.52
2025-02-28,69.93
2025-02-21,72.1
2025-02-14,72.17
2025-02-07,72.05
2025-01-31,73.31
2025-01-24,75.73
2025-01-17,79.28
2025-01-10,75.14
2025-01-03,73.15
2024-12-27,70.51
2024-12-20,70.39
2024-12-13,69.97
2024-12-06,68.89
2024-11-29,68.94
2024-11-22,70.11
2024-11-15,68.38
2024-11-08,71.89
2024-11-01,68.69
2024-10-25,71.59
2024-10-18,70.81
2024-10-11,75.69
2024-10-04,71.83
2024-09-27,70.22
2024-09-20,72.14
2024-09-13,68.82
2024-09-06,70.02
2024-08-30,76.36
2024-08-23,74.68
2024-08-16,79.49
2024-08-09,76.33
2024-08-02,77.11
2024-07-26,79.26
2024-07-19,82.98
2024-07-12,83.44
2024-07-05,84.61
2024-06-28,82.53
2024-06-21,82.26
2024-06-14,79.24
2024-06-07,75.53
2024-05-31,79.52
2024-05-24,79.43
2024-05-17,80.61
2024-05-10,80.26
2024-05-03,81.74
2024-04-26,84.48
2024-04-19,84.65
2024-04-12,86.5
2024-04-05,86.35
2024-03-29,82.73
2024-03-22,82.79
2024-03-15,80.43
2024-03-08,79.53
2024-03-01,79.58
2024-02-23,78.71
2024-02-16,78.17
2024-02-09,75.05
2024-02-02,75.78
2024-01-26,76.36
2024-01-19,73.36
2024-01-12,72.03
2024-01-05,72.49
2023-12-29,73.52
2023-12-22,73.23
2023-12-15,70.11
2023-12-08,70.71
2023-12-01,75.49
2023-11-24,77.02
2023-11-17,76.98
2023-11-10,77.92
2023-11-03,81.99
2023-10-27,85.2
2023-10-20,88.03
2023-10-13,85.03
2023-10-06,85.5
2023-09-29,91.44
2023-09-22,90.28
2023-09-15,89.14
2023-09-08,87.17
2023-09-01,82.5
2023-08-25,79.97
2023-08-18,80.93
2023-08-11,83.04
2023-08-04,81.4
2023-07-28,79.68
2023-07-21,75.61
2023-07-14,75.2
2023-07-07,71.79
2023-06-30,69.36
2023-06-23,70.41
2023-06-16,69.42
2023-06-09,71.56
2023-06-02,69.85
2023-05-26,72.62
2023-05-19,71.62
2023-05-12,72.03
2023-05-05,71.16
2023-04-28,76.31
2023-04-21,79.22
2023-04-14,81.87
2023-04-07,80.62
2023-03-31,73.79
2023-03-24,69.33
2023-03-17,69.6
2023-03-10,77.31
2023-03-03,77.54
2023-02-24,75.42
2023-02-17,78.51
2023-02-10,77.51
2023-02-03,76.51
