month,year,oil_bbl_d,oil_bbl,gas_mcf,ngl_bbl
1,0.0,750.0,22800.0,57000.0,5130.0
2,0.08,634.2,19279.0,48199.0,4338.0
3,0.17,548.2,16666.0,41664.0,3750.0
4,0.25,482.0,14652.0,36630.0,3297.0
5,0.33,429.4,13055.0,32637.0,2937.0
6,0.42,386.8,11759.0,29398.0,2646.0
7,0.5,351.6,10688.0,26720.0,2405.0
8,0.58,322.0,9788.0,24469.0,2202.0
9,0.67,296.8,9022.0,22554.0,2030.0
10,0.75,275.1,8362.0,20905.0,1881.0
11,0.83,256.2,7788.0,19470.0,1752.0
12,0.92,239.6,7285.0,18212.0,1639.0
13,1.0,225.0,6840.0,17100.0,1539.0
14,1.08,212.0,6444.0,16110.0,1450.0
15,1.17,200.3,6089.0,15224.0,1370.0
16,1.25,189.8,5770.0,14426.0,1298.0
17,1.33,180.3,5481.0,13703.0,1233.0
18,1.42,171.7,5219.0,13047.0,1174.0
19,1.5,163.8,4979.0,12448.0,1120.0
20,1.58,156.6,4759.0,11899.0,1071.0
21,1.67,149.9,4558.0,11394.0,1025.0
22,1.75,143.8,4371.0,10928.0,984.0
23,1.83,138.1,4199.0,10498.0,945.0
24,1.92,132.9,4039.0,10098.0,909.0
25,2.0,128.0,3891.0,9727.0,875.0
26,2.08,123.4,3752.0,9380.0,844.0
27,2.17,119.2,3623.0,9056.0,815.0
28,2.25,115.2,3501.0,8753.0,788.0
29,2.33,111.4,3388.0,8469.0,762.0
30,2.42,107.9,3281.0,8201.0,738.0
31,2.5,104.6,3180.0,7950.0,715.0
32,2.58,101.5,3085.0,7712.0,694.0
33,2.67,98.5,2995.0,7488.0,674.0
34,2.75,95.7,2910.0,7276.0,655.0
35,2.83,93.1,2830.0,7074.0,637.0
36,2.92,90.6,2753.0,6884.0,620.0
37,3.0,88.2,2681.0,6702.0,603.0
38,3.08,85.9,2612.0,6530.0,588.0
39,3.17,83.8,2546.0,6366.0,573.0
40,3.25,81.7,2484.0,6209.0,559.0
41,3.33,79.7,2424.0,6060.0,545.0
42,3.42,77.9,2367.0,5917.0,533.0
43,3.5,76.1,2312.0,5781.0,520.0
44,3.58,74.3,2260.0,5650.0,509.0
45,3.67,72.7,2210.0,5525.0,497.0
46,3.75,71.1,2162.0,5405.0,486.0
47,3.83,69.6,2116.0,5290.0,476.0
48,3.92,68.2,2072.0,5180.0,466.0
49,4.0,66.8,2029.0,5073.0,457.0
50,4.08,65.4,1989.0,4971.0,447.0
51,4.17,64.1,1949.0,4873.0,439.0
52,4.25,62.9,1911.0,4778.0,430.0
53,4.33,61.7,1875.0,4687.0,422.0
54,4.42,60.5,1840.0,4599.0,414.0
55,4.5,59.4,1806.0,4514.0,406.0
56,4.58,58.3,1773.0,4432.0,399.0
57,4.67,57.3,1741.0,4353.0,392.0
58,4.75,56.3,1711.0,4277.0,385.0
59,4.83,55.3,1681.0,4203.0,378.0
60,4.92,54.4,1652.0,4131.0,372.0
61,5.0,53.4,1625.0,4062.0,366.0
62,5.08,52.6,1598.0,3994.0,359.0
63,5.17,51.7,1572.0,3929.0,354.0
64,5.25,50.9,1546.0,3866.0,348.0
65,5.33,50.1,1522.0,3805.0,342.0
66,5.42,49.3,1498.0,3746.0,337.0
67,5.5,48.5,1475.0,3688.0,332.0
68,5.58,47.8,1453.0,3632.0,327.0
69,5.67,47.1,1431.0,3578.0,322.0
70,5.75,46.4,1410.0,3525.0,317.0
71,5.83,45.7,1389.0,3473.0,313.0
72,5.92,45.0,1369.0,3423.0,308.0
73,6.0,44.4,1350.0,3375.0,304.0
74,6.08,43.8,1331.0,3327.0,299.0
75,6.17,43.2,1313.0,3281.0,295.0
76,6.25,42.6,1295.0,3236.0,291.0
77,6.33,42.0,1277.0,3193.0,287.0
78,6.42,41.4,1260.0,3150.0,283.0
79,6.5,40.9,1243.0,3108.0,280.0
80,6.58,40.4,1227.0,3068.0,276.0
81,6.67,39.8,1211.0,3028.0,273.0
82,6.75,39.3,1196.0,2990.0,269.0
83,6.83,38.8,1181.0,2952.0,266.0
84,6.92,38.4,1166.0,2915.0,262.0
85,7.0,37.9,1152.0,2879.0,259.0
86,7.08,37.4,1138.0,2844.0,256.0
87,7.17,37.0,1124.0,2810.0,253.0
88,7.25,36.5,1111.0,2776.0,250.0
89,7.33,36.1,1097.0,2744.0,247.0
90,7.42,35.7,1085.0,2712.0,244.0
91,7.5,35.3,1072.0,2680.0,241.0
92,7.58,34.9,1060.0,2650.0,238.0
93,7.67,34.5,1048.0,2620.0,236.0
94,7.75,34.1,1036.0,2590.0,233.0
95,7.83,33.7,1025.0,2562.0,231.0
96,7.92,33.3,1013.0,2534.0,228.0
97,8.0,33.0,1002.0,2506.0,226.0
98,8.08,32.6,992.0,2479.0,223.0
99,8.17,32.3,981.0,2453.0,221.0
100,8.25,31.9,971.0,2427.0,218.0
101,8.33,31.6,961.0,2401.0,216.0
102,8.42,31.3,951.0,2376.0,214.0
103,8.5,30.9,941.0,2352.0,212.0
104,8.58,30.6,931.0,2328.0,210.0
105,8.67,30.3,922.0,2305.0,207.0
106,8.75,30.3,922.0,2304.0,207.0
107,8.83,30.0,912.0,2281.0,205.0
108,8.92,29.7,903.0,2258.0,203.0
109,9.0,29.4,894.0,2236.0,201.0
110,9.08,29.1,885.0,2214.0,199.0
111,9.17,28.8,877.0,2192.0,197.0
112,9.25,28.6,868.0,2170.0,195.0
113,9.33,28.3,859.0,2148.0,193.0
